{
    {
    "number" : 1,
    "symbol" : "H",
    "name" : "Водород"
    }

}
1 H Водород
2 He Гелий
3 Li Литий
4 Be Бериллий
5 B Бор
6 C Углерод
7 N Азот
8 O Кислород
9 F Фтор
10 Ne Неон
11 Na Натрий
12 Mg Магний
13 Al Алюминий
14 Si Кремний
15 P Фосфор
16 S Сера
17 Cl Хлор
18 Ar Аргон
19 K Калий
20 Ca Кальций
21 Sc Скандий
22 Ti Титан
23 V Ванадий
24 Cr Хром
25 Mn Марганец
26 Fe Железо
27 Co Кобальт
28 Ni Никель
29 Cu Медь
30 Zn Цинк
31 Ga Галлий
32 Ge Германий
33 As Мышьяк
34 Se Селен
35 Br Бром
36 Kr Криптон
37 Rb Рубидий
38 Sr Стронций
39 Y Иттрий
40 Zr Цирконий
41 Nb Ниобий
42 Mo Молибден
43 Tc Технеций
44 Ru Рутений
45 Rh Родий
46 Pd Палладий
47 Ag Серебро
48 Cd Кадмий
49 In Индий
50 Sn Олово
51 Sb Сурьма
52 Te Теллур
53 I Иод
54 Xe Ксенон
55 Cs Цезий
56 Ba Барий
57 La Лантан
58 Ce Церий
59 Pr Празеодим
60 Nd Неодим
61 Pm Прометий
62 Sm Самарий
63 Eu Европий
64 Gd Гадолиний
65 Tb Тербий
66 Dy Диспрозий

number "Напиши номер элемента <{name}>: "
symbol "Напиши обозначение элемента №{number}: "
name "Напиши название элемента <{symbol}>: "

